fact_id,date_key,region_id,category_id,competitor_id,competitor_sales
1,2021000,1,1,2,1281453.32
2,2021000,1,1,3,2912393.91
3,2021000,1,1,4,2096923.61
4,2021000,1,1,5,3028889.66
5,2021001,1,1,3,4116256.82
6,2021001,1,1,4,5488342.43
7,2021001,1,1,5,5213925.3
8,2021001,1,1,1,5762759.55
9,2021002,1,1,4,5575066.72
10,2021002,1,1,5,5247121.62
11,2021002,1,1,1,4263286.31
12,2021002,1,1,2,3935341.21
13,2021003,1,1,5,9903375.28
14,2021003,1,1,1,4715892.99
15,2021003,1,1,2,11789732.48
16,2021003,1,1,3,11789732.48
17,2021004,1,1,1,5607761.72
18,2021004,1,1,2,3235247.14
19,2021004,1,1,3,5607761.72
20,2021004,1,1,4,5823444.86
21,2021005,1,1,2,6758296.76
22,2021005,1,1,3,5068722.57
23,2021005,1,1,4,8785785.78
24,2021005,1,1,5,7096211.59
25,2021006,1,1,3,2095804.15
26,2021006,1,1,4,4977534.87
27,2021006,1,1,5,6025436.94
28,2021006,1,1,1,2357779.67
29,2021007,1,1,4,2495132.92
30,2021007,1,1,5,7797290.37
31,2021007,1,1,1,5614049.06
32,2021007,1,1,2,4054590.99
33,2021008,1,1,5,3912894.01
34,2021008,1,1,1,8217077.42
35,2021008,1,1,2,6651919.81
36,2021008,1,1,3,7825788.02
37,2021009,1,1,1,1426526.25
38,2021009,1,1,2,1268023.33
39,2021009,1,1,3,3011555.41
40,2021009,1,1,4,1585029.17
41,2021010,1,1,2,4570783.15
42,2021010,1,1,3,2150956.78
43,2021010,1,1,4,6452870.33
44,2021010,1,1,5,6721739.93
45,2021011,1,1,3,9291024.99
46,2021011,1,1,4,8024067.04
47,2021011,1,1,5,5067831.81
48,2021011,1,1,1,5912470.45
49,2021012,1,1,4,5715994.56
50,2021012,1,1,5,2338361.41
51,2021012,1,1,1,2857997.28
52,2021012,1,1,2,5456176.62
53,2021013,1,1,5,7221671.6
54,2021013,1,1,1,5616855.69
55,2021013,1,1,2,10832507.4
56,2021013,1,1,3,10832507.4
57,2021014,1,1,1,1145272.29
58,2021014,1,1,2,2576862.65
59,2021014,1,1,3,2720021.69
60,2021014,1,1,4,3865293.98
61,2021015,1,1,2,8430241.62
62,2021015,1,1,3,12118472.33
63,2021015,1,1,4,8430241.62
64,2021015,1,1,5,5795791.11
65,2021016,1,1,3,3628031.09
66,2021016,1,1,4,4837374.79
67,2021016,1,1,5,3628031.09
68,2021016,1,1,1,5079243.53
69,2021017,1,1,4,2359677.53
70,2021017,1,1,5,6135161.58
71,2021017,1,1,1,6371129.34
72,2021017,1,1,2,5427258.32
73,2021018,1,1,5,4420739.23
74,2021018,1,1,1,4715455.18
75,2021018,1,1,2,6778466.82
76,2021018,1,1,3,4126023.28
77,2021019,1,1,1,4458999.68
78,2021019,1,1,2,6440777.31
79,2021019,1,1,3,1981777.63
80,2021019,1,1,4,4458999.68
81,2021000,2,1,2,5525646.53
82,2021000,2,1,3,4834940.71
83,2021000,2,1,4,5525646.53
84,2021000,2,1,5,5065175.98
85,2021001,2,1,3,2054384.24
86,2021001,2,1,4,2696379.31
87,2021001,2,1,5,1412389.16
88,2021001,2,1,1,3209975.37
89,2021002,2,1,4,8728902.23
90,2021002,2,1,5,8728902.23
91,2021002,2,1,1,6072279.81
92,2021002,2,1,2,9108419.72
93,2021003,2,1,5,1779159.36
94,2021003,2,1,1,1156453.59
95,2021003,2,1,2,800621.71
96,2021003,2,1,3,889579.68
97,2021004,2,1,1,2792475.11
98,2021004,2,1,2,3035299.03
99,2021004,2,1,3,1699767.46
100,2021004,2,1,4,971295.69
101,2021005,2,1,2,5357689.46
102,2021005,2,1,3,4500459.14
103,2021005,2,1,4,4500459.14
104,2021005,2,1,5,2143075.78
105,2021006,2,1,3,6111450.25
106,2021006,2,1,4,3819656.41
107,2021006,2,1,5,2801081.36
108,2021006,2,1,1,2801081.36
109,2021007,2,1,4,4164400.11
110,2021007,2,1,5,7866089.09
111,2021007,2,1,1,5552533.47
112,2021007,2,1,2,9254222.46
113,2021008,2,1,5,1230516.13
114,2021008,2,1,1,1914136.2
115,2021008,2,1,2,1503964.16
116,2021008,2,1,3,2187584.23
117,2021009,2,1,1,1539365.0
118,2021009,2,1,2,2950449.58
119,2021009,2,1,3,1411084.58
120,2021009,2,1,4,1282804.16
121,2021010,2,1,2,7392074.68
122,2021010,2,1,3,3213945.51
123,2021010,2,1,4,5142312.82
124,2021010,2,1,5,8356258.34
125,2021011,2,1,3,4213609.24
126,2021011,2,1,4,9691301.26
127,2021011,2,1,5,10955384.03
128,2021011,2,1,1,8005857.56
129,2021012,2,1,4,2957721.87
130,2021012,2,1,5,7229986.8
131,2021012,2,1,1,5586807.98
132,2021012,2,1,2,7887258.33
133,2021013,2,1,5,1033302.91
134,2021013,2,1,1,1607360.08
135,2021013,2,1,2,2411040.12
136,2021013,2,1,3,1033302.91
137,2021014,2,1,1,1796011.83
138,2021014,2,1,2,2155214.19
139,2021014,2,1,3,1885812.42
140,2021014,2,1,4,1796011.83
141,2021015,2,1,2,984080.35
142,2021015,2,1,3,643437.15
143,2021015,2,1,4,756984.89
144,2021015,2,1,5,681286.4
145,2021016,2,1,3,503984.06
146,2021016,2,1,4,201593.62
147,2021016,2,1,5,680378.48
148,2021016,2,1,1,655179.28
149,2021017,2,1,4,1568256.31
150,2021017,2,1,5,3293338.25
151,2021017,2,1,1,2195558.83
152,2021017,2,1,2,4077466.41
153,2021018,2,1,5,10104082.89
154,2021018,2,1,1,8607181.72
155,2021018,2,1,2,4116478.22
156,2021018,2,1,3,8981407.02
157,2021019,2,1,1,12003780.6
